ROI;Condition;Subject;Depth;Vertices;PSC
V2;CD;6;3;275.0;-1.1305241550736616
V2;CD;6;4;275.0;-1.4658621226507749
V2;CD;6;5;275.0;-1.7344637485782928
V2;CD;6;6;275.0;-1.804002648558978
V2;CD;6;7;275.0;-1.5507980354932918
V2;CD;6;8;275.0;-1.0565622799016148
V2;CD;6;9;275.0;-0.6121038627877976
V2;CD;6;10;275.0;-0.5176175270481578
V3;PD;0;0;4372.0;-0.43446324729208174
V3;PD;0;1;4372.0;-0.31654791179668296
V3;PD;0;2;4372.0;-0.34758813799872124
V3;PD;0;3;4372.0;-0.485774588598474
V3;PD;0;4;4372.0;-0.6892979262962186
V3;PD;0;5;4372.0;-0.9163488137922324
V3;PD;0;6;4372.0;-1.1251179137867928
V3;PD;0;7;4372.0;-1.2743193038162637
V3;PD;0;8;4372.0;-1.3351018098179095
V3;PD;0;9;4372.0;-1.2912731873428074
V3;PD;0;10;4372.0;-1.1272094475081391
V3;PD;1;0;3407.0;-0.6808478509152693
V3;PD;1;1;3407.0;-0.7012993925527238
V3;PD;1;2;3407.0;-0.8283355312159406
V3;PD;1;3;3407.0;-1.0187461275177396
V3;PD;1;4;3407.0;-1.2293210420709406
V3;PD;1;5;3407.0;-1.4168501354883631
V3;PD;1;6;3407.0;-1.5381232683828272
V3;PD;1;7;3407.0;-1.5518176314858074
V3;PD;1;8;3407.0;-1.4614476527580327
V3;PD;1;9;3407.0;-1.3161733503936264
V3;PD;1;10;3407.0;-1.1672037594870075
V3;PD;2;0;742.0;-0.0025388162981826896
V3;PD;2;1;742.0;0.024021780422221216
V3;PD;2;2;742.0;-0.03581760055023625
V3;PD;2;3;742.0;-0.14533599336862402
V3;PD;2;4;742.0;-0.2678124321860108
V3;PD;2;5;742.0;-0.36652595115546566
V3;PD;2;6;742.0;-0.4047555844300575
V3;PD;2;7;742.0;-0.34836545175301775
V3;PD;2;8;742.0;-0.22463346302456277
V3;PD;2;9;742.0;-0.12335852349197107
V3;PD;2;10;742.0;-0.13714608719364127
V3;PD;3;0;1644.0;-0.5502972720059631
V3;PD;3;1;1644.0;-0.5583988722247387
V3;PD;3;2;1644.0;-0.5943351597831789
V3;PD;3;3;1644.0;-0.6388683393198857
V3;PD;3;4;1644.0;-0.6727606154734616
V3;PD;3;5;1644.0;-0.6767741928825086
V3;PD;3;6;1644.0;-0.6316712761856292
V3;PD;3;7;1644.0;-0.520292159611259
V3;PD;3;8;1644.0;-0.3748462408647604
V3;PD;3;9;1644.0;-0.2778020773757155
