ROI;Condition;Subject;Depth;PSC
V2;PS;2;7;-2.2297998182688197
V2;PS;2;8;-2.4087944089996545
V2;PS;2;9;-2.5389150149158364
V2;PS;2;10;-2.6143155939181804
V2;PS;3;0;-1.0350948250094518
V2;PS;3;1;-1.1532188679919353
V2;PS;3;2;-1.3820496532896172
V2;PS;3;3;-1.646454848357602
V2;PS;3;4;-1.9414742379172836
V2;PS;3;5;-2.2729997108182
V2;PS;3;6;-2.6733881726276505
V2;PS;3;7;-3.1141850461981995
V2;PS;3;8;-3.620886447682748
V2;PS;3;9;-4.119665199933621
V2;PS;3;10;-4.319069763971049
V2;PS;4;0;-1.7246220635974785
V2;PS;4;1;-1.8456235414843254
V2;PS;4;2;-2.1293412901347306
V2;PS;4;3;-2.479971923331905
V2;PS;4;4;-2.8381544025435437
V2;PS;4;5;-3.2215154875230447
V2;PS;4;6;-3.6814808585949668
V2;PS;4;7;-4.2517780828221365
V2;PS;4;8;-4.931016051795615
V2;PS;4;9;-5.589735947135797
V2;PS;4;10;-5.911132288731507
V2;PS;5;0;-1.7405999544846458
V2;PS;5;1;-1.8876997804067919
V2;PS;5;2;-2.249274275768214
V2;PS;5;3;-2.690698914709421
V2;PS;5;4;-3.1532549620687065
V2;PS;5;5;-3.616056479557291
V2;PS;5;6;-4.002214189078836
V2;PS;5;7;-4.323399454953557
V2;PS;5;8;-4.561997414722071
V2;PS;5;9;-4.652286765002837
V2;PS;5;10;-4.644754258977911
V2;PS;6;0;-1.5567848237027668
V2;PS;6;1;-1.5895525204664451
V2;PS;6;2;-1.5679707011037967
V2;PS;6;3;-1.5318685365486375
V2;PS;6;4;-1.7639354626353554
V2;PS;6;5;-2.217780397750391
V2;PS;6;6;-2.430801633455706
V2;PS;6;7;-2.4960001582653186
V2;PS;6;8;-2.492159377505671
V2;PS;6;9;-2.53086088545571
V2;PS;6;10;-2.5739828584966635
V2;CD;0;0;-1.0559609996990145
V2;CD;0;1;-1.1831267648906536
V2;CD;0;2;-1.4455029331514038
V2;CD;0;3;-1.7589058727019597
V2;CD;0;4;-2.0991108914273355
V2;CD;0;5;-2.4918073281728934
V2;CD;0;6;-3.014876795595608
V2;CD;0;7;-3.6218219513665706
V2;CD;0;8;-4.299945774350572
V2;CD;0;9;-4.909121965360408
V2;CD;0;10;-5.136803654807343
V2;CD;1;0;-1.760343132681798
