ROI;Condition;Subject;Depth;PSC
V2;PD;4;0;-1.6736949372026504
V2;PD;4;1;-1.7931690309516661
V2;PD;4;2;-2.050348384234508
V2;PD;4;3;-2.3849441360816876
V2;PD;4;4;-2.749857871842
V2;PD;4;5;-3.1392209199367924
V2;PD;4;6;-3.5941645466017076
V2;PD;4;7;-4.122264251124151
V2;PD;4;8;-4.717708380044937
V2;PD;4;9;-5.2553304122229605
V2;PD;4;10;-5.4942488947937305
V2;PD;5;0;-1.5068297167674454
V2;PD;5;1;-1.5906308486539145
V2;PD;5;2;-1.8392754959815765
V2;PD;5;3;-2.1669535712789787
V2;PD;5;4;-2.4997362351744727
V2;PD;5;5;-2.823639853440384
V2;PD;5;6;-3.1348433120148487
V2;PD;5;7;-3.4011924672121037
V2;PD;5;8;-3.608335502265705
V2;PD;5;9;-3.725276970879132
V2;PD;5;10;-3.7696781669426
V2;PD;6;0;-1.2427971035023848
V2;PD;6;1;-1.2070675194414489
V2;PD;6;2;-0.991531602932124
V2;PD;6;3;-1.0578950891131425
V2;PD;6;4;-1.3213995361590853
V2;PD;6;5;-1.601976804612135
V2;PD;6;6;-1.7802476761010637
V2;PD;6;7;-1.9605539231320661
V2;PD;6;8;-2.193572573968473
V2;PD;6;9;-2.4101976410110706
V2;PD;6;10;-2.4457707870362326
V2;PS;0;0;-1.1236904326965134
V2;PS;0;1;-1.2413843998712142
V2;PS;0;2;-1.490962518882502
V2;PS;0;3;-1.7900334539063976
V2;PS;0;4;-2.1032498023540653
V2;PS;0;5;-2.4600739055448364
V2;PS;0;6;-2.903254248249165
V2;PS;0;7;-3.400310342177871
V2;PS;0;8;-3.9413288764855983
V2;PS;0;9;-4.439522452351048
V2;PS;0;10;-4.655191390282401
V2;PS;1;0;-1.6604872970497844
V2;PS;1;1;-1.81073251537688
V2;PS;1;2;-2.0588605116303276
V2;PS;1;3;-2.3264713484219763
V2;PS;1;4;-2.611958575199822
V2;PS;1;5;-2.9439931454107104
V2;PS;1;6;-3.372622798022994
V2;PS;1;7;-3.886996407624147
V2;PS;1;8;-4.503229114298325
V2;PS;1;9;-5.020517423907211
V2;PS;1;10;-5.221175278525887
V2;PS;2;0;-0.9634731298143492
