ROI;Condition;Subject;Depth;PSC
V2;CD;0;7;0.31415024932652647
V2;CD;0;8;0.15290738689535577
V2;CD;0;9;-0.02880096443910357
V2;CD;0;10;-0.21841975621020568
V2;CD;1;0;0.2974498209718328
V2;CD;1;1;0.12842109098590404
V2;CD;1;2;0.04643412562723158
V2;CD;1;3;0.026568830840355197
V2;CD;1;4;0.043905112569814476
V2;CD;1;5;0.07352287676014918
V2;CD;1;6;0.090502029355899
V2;CD;1;7;0.07096954474088063
V2;CD;1;8;0.015927566482657928
V2;CD;1;9;-0.048298127976484126
V2;CD;1;10;-0.09424499083986451
V2;CD;2;0;0.22702108888676492
V2;CD;2;1;0.13196710829060931
V2;CD;2;2;0.058207935052063044
V2;CD;2;3;0.007662974366602935
V2;CD;2;4;-0.017748368570294357
V2;CD;2;5;-0.016106688563152116
V2;CD;2;6;0.01450741958350639
V2;CD;2;7;0.07502689333751732
V2;CD;2;8;0.14294919002149764
V2;CD;2;9;0.1719137777121622
V2;CD;2;10;0.11448914648107814
V2;CD;3;0;-0.6709096722677246
V2;CD;3;1;-0.5202228744476746
V2;CD;3;2;-0.4189377555715291
V2;CD;3;3;-0.36002362931653786
V2;CD;3;4;-0.3364498093599506
V2;CD;3;5;-0.34118560937901704
V2;CD;3;6;-0.36720034305098675
V2;CD;3;7;-0.4077011416162919
V2;CD;3;8;-0.46154496004905726
V2;CD;3;9;-0.5333404355182862
V2;CD;3;10;-0.6279543964873037
V2;CD;4;0;-0.5464949963439707
V2;CD;4;1;-0.4772015319440738
V2;CD;4;2;-0.44304146831987934
V2;CD;4;3;-0.4399727585602676
V2;CD;4;4;-0.4639533557541188
V2;CD;4;5;-0.5109412129903133
V2;CD;4;6;-0.5768942833577311
V2;CD;4;7;-0.6576005244729796
V2;CD;4;8;-0.7448093173184784
V2;CD;4;9;-0.8261586563247121
V2;CD;4;10;-0.8891019770089053
V2;CD;5;0;-0.18795667563011728
V2;CD;5;1;-0.21494990171378667
V2;CD;5;2;-0.3129112948993823
V2;CD;5;3;-0.4429585379125273
V2;CD;5;4;-0.5662093134788447
V2;CD;5;5;-0.6437813043239575
V2;CD;5;6;-0.6367921931734888
V2;CD;5;7;-0.5095459882084763
V2;CD;5;8;-0.3020441227301761
V2;CD;5;9;-0.13135017441537006
V2;CD;5;10;-0.1179870175649203
V2;CD;6;0;-0.056721806036531666
V2;CD;6;1;0.03016551859839929
V2;CD;6;2;0.01228208054603198
V2;CD;6;3;-0.07328452845395882
V2;CD;6;4;-0.18944671666189813
V2;CD;6;5;-0.2991168923381112
V2;CD;6;6;-0.3652074637429232
V2;CD;6;7;-0.3526596435362904
V2;CD;6;8;-0.2746128812731709
V2;CD;6;9;-0.19327381055539922
V2;CD;6;10;-0.17305167620854311
V3;PD;0;0;-0.013272031779656433
V3;PD;0;1;0.0002720455225760785
V3;PD;0;2;0.0717368403852379
V3;PD;0;3;0.1714142488247764
V3;PD;0;4;0.26959616685763876
V3;PD;0;5;0.3365744905002725
V3;PD;0;6;0.3426411157691248
V3;PD;0;7;0.2603023475280784
V3;PD;0;8;0.11467212606928956
V3;PD;0;9;-0.015579530414281728
V3;PD;0;10;-0.04937848740274821
V3;PD;1;0;-0.029380280795625716
V3;PD;1;1;-0.11323414272676535
V3;PD;1;2;-0.11554871809166997
V3;PD;1;3;-0.05986762068095102
V3;PD;1;4;0.030265535714779954
V3;PD;1;5;0.13130713730491148
V3;PD;1;6;0.21971357029883232
V3;PD;1;7;0.2723669530646383
V3;PD;1;8;0.2762635083379713
V3;PD;1;9;0.22869590645177432
V3;PD;1;10;0.12741902219361567
V3;PD;2;0;-0.08830939928927115
V3;PD;2;1;-0.14405221413548
V3;PD;2;2;-0.07570710387021524
V3;PD;2;3;0.06955857349612196
V3;PD;2;4;0.24457745995313035
V3;PD;2;5;0.40218219749040873
V3;PD;2;6;0.49520542809755613
V3;PD;2;7;0.4790326185434498
V3;PD;2;8;0.3696966067705877
V3;PD;2;9;0.24497098961723224
V3;PD;2;10;0.18540088813171093
V3;PD;3;0;0.246552597490015
V3;PD;3;1;0.07666731237344887
V3;PD;3;2;0.01201956032215892
V3;PD;3;3;0.022778719495527157
V3;PD;3;4;0.07911416805293538
V3;PD;3;5;0.15119528415376549
V3;PD;3;6;0.20919144595739947
V3;PD;3;7;0.2242345898044352
V3;PD;3;8;0.19032411390212875
V3;PD;3;9;0.12473914684581189
V3;PD;3;10;0.04580383736870068
V3;PD;4;0;-0.33550745307015334
V3;PD;4;1;-0.2784060687919763
V3;PD;4;2;-0.3282313685209854
V3;PD;4;3;-0.4464770662363858
V3;PD;4;4;-0.5946368759173826
V3;PD;4;5;-0.7342045115431811
V3;PD;4;6;-0.8266736870929865
V3;PD;4;7;-0.8353714721035583
V3;PD;4;8;-0.767179901534561
V3;PD;4;9;-0.673321211196089
V3;PD;4;10;-0.6070080552593655
V3;PD;5;0;-0.40783674593751595
V3;PD;5;1;-0.26668625178114214
V3;PD;5;2;-0.4354410150645036
V3;PD;5;3;-0.7832520631076887
V3;PD;5;4;-1.179270423230785
V3;PD;5;5;-1.4926471227538811
V3;PD;5;6;-1.5925331889970649
V3;PD;5;7;-1.3566091059605938
V3;PD;5;8;-0.8651893689526697
V3;PD;5;9;-0.40487569388384714
V3;PD;5;10;-0.27152996833007403
V3;PD;6;0;0.25482696412585887
V3;PD;6;1;0.21851559135414483
V3;PD;6;2;0.2616132930733867
V3;PD;6;3;0.3517253519800269
V3;PD;6;4;0.45645705077050774
V3;PD;6;5;0.5434136721412718
V3;PD;6;6;0.5802004987887612
V3;PD;6;7;0.5356223225080887
V3;PD;6;8;0.4069806318217247
V3;PD;6;9;0.22058736777336624
V3;PD;6;10;0.004056741948011505
V3;PS;0;0;-0.22216305866670752
V3;PS;0;1;-0.147523948559781
V3;PS;0;2;0.019659834628791055
V3;PS;0;3;0.23261135619486825
V3;PS;0;4;0.44455368143431
V3;PS;0;5;0.6087098756429761
V3;PS;0;6;0.678303004116726
V3;PS;0;7;0.6097596877808175
V3;PS;0;8;0.43561330933612274
V3;PS;0;9;0.2658761122848127
V3;PS;0;10;0.21403834302891855
V3;PS;1;0;-0.025648556064217874
V3;PS;1;1;-0.15861842342215365
V3;PS;1;2;-0.15712718890547325
V3;PS;1;3;-0.06323429695226675
V3;PS;1;4;0.08100080799937551
V3;PS;1;5;0.23351868151136337
V3;PS;1;6;0.35225987914560686
V3;PS;1;7;0.39673692260494836
V3;PS;1;8;0.36380747956360593
V3;PS;1;9;0.2883476446898563
V3;PS;1;10;0.20694014847452075
V3;PS;2;0;0.16032604424681218
V3;PS;2;1;0.20573471959630954
V3;PS;2;2;0.204617665779056
V3;PS;2;3;0.16674886901333952
V3;PS;2;4;0.10190231551744822
V3;PS;2;5;0.019851991509670104
V3;PS;2;6;-0.06962811679170702
V3;PS;2;7;-0.15640627838290858
V3;PS;2;8;-0.22185183159836036
V3;PS;2;9;-0.238681960215618
V3;PS;2;10;-0.17922545538065213
V3;PS;3;0;0.3111508104292822
V3;PS;3;1;0.09345161730439193
V3;PS;3;2;0.010614916131527454
V3;PS;3;3;0.02015958612582102
V3;PS;3;4;0.07960450650240455
V3;PS;3;5;0.1464685564764102
V3;PS;3;6;0.17827061526297006
V3;PS;3;7;0.13430977603321886
V3;PS;3;8;0.016177614166435133
V3;PS;3;9;-0.13147933813827253
V3;PS;3;10;-0.2620818245409906
V3;PS;4;0;0.12973806867973434
V3;PS;4;1;-0.04430889696056211
V3;PS;4;2;-0.24166431020896745
V3;PS;4;3;-0.43732959228011625
V3;PS;4;4;-0.606306164388643
V3;PS;4;5;-0.7235954477491823
V3;PS;4;6;-0.7641988635763686
V3;PS;4;7;-0.7051608169159226
V3;PS;4;8;-0.5720608099778031
V3;PS;4;9;-0.43988846241005547
V3;PS;4;10;-0.3858513992618735
V3;PS;5;0;-0.37633031936875394
V3;PS;5;1;-0.20046197109492875
V3;PS;5;2;-0.32021339083622957
V3;PS;5;3;-0.6176856289679679
V3;PS;5;4;-0.9749797358654545
V3;PS;5;5;-1.2741967619040009
V3;PS;5;6;-1.397437757458918
V3;PS;5;7;-1.2342075079627648
V3;PS;5;8;-0.8499010799722557
V3;PS;5;9;-0.48897487821663677
V3;PS;5;10;-0.4039233173671713
V3;PS;6;0;0.47077739671519453
V3;PS;6;1;0.41391306113971876
V3;PS;6;2;0.42228811657063076
V3;PS;6;3;0.47178375943683803
V3;PS;6;4;0.5382811861672477
V3;PS;6;5;0.5976615931907674
V3;PS;6;6;0.6258061769363039
V3;PS;6;7;0.5991023005122584
V3;PS;6;8;0.5059623115602968
V3;PS;6;9;0.34704033599584116
V3;PS;6;10;0.12354002950146843
V3;CD;0;0;-0.2170432741357436
V3;CD;0;1;-0.17177393804178115
V3;CD;0;2;-0.07468136252226605
V3;CD;0;3;0.043297423532623544
V3;CD;0;4;0.15122539123270945
V3;CD;0;5;0.21816551168781365
V3;CD;0;6;0.21318075600775793
V3;CD;0;7;0.10792869030112279
V3;CD;0;8;-0.06429341447099575
V3;CD;0;9;-0.20743730437726837
V3;CD;0;10;-0.2226378526195939
V3;CD;1;0;-0.3805838837417982
V3;CD;1;1;-0.37543776318087113
V3;CD;1;2;-0.32858574662801876
V3;CD;1;3;-0.2584150642621251
V3;CD;1;4;-0.18331294626207428
V3;CD;1;5;-0.1216666228067502
V3;CD;1;6;-0.0918633240750367
V3;CD;1;7;-0.11114070228096555
V3;CD;1;8;-0.1694259251535703
V3;CD;1;9;-0.22884330589934238
V3;CD;1;10;-0.2502690958966339
V3;CD;2;0;0.6141201604633387
